Stress,CESD,N,E,O,A,C,sex
13,0,59.29 ,55.94 ,51.41 ,45.83 ,37.53 ,1
16,9,45.28 ,57.39 ,58.22 ,30.97 ,44.06 ,1
17,10,59.64 ,41.14 ,78.40 ,57.36 ,42.91 ,1
20,6,63.30 ,33.42 ,43.33 ,61.53 ,49.06 ,1
35,21,66.88 ,43.74 ,67.51 ,36.67 ,49.24 ,1
20,12,62.87 ,51.97 ,27.30 ,32.63 ,33.29 ,1
28,16,57.85 ,36.99 ,43.25 ,61.28 ,35.00 ,1
16,7,65.87 ,47.56 ,35.27 ,38.49 ,27.08 ,1
10,9,41.80 ,51.66 ,50.37 ,59.08 ,45.02 ,1
17,11,57.12 ,42.74 ,29.80 ,49.66 ,49.57 ,1
10,9,44.92 ,48.30 ,52.84 ,32.69 ,55.86 ,1
16,8,45.26 ,49.86 ,60.76 ,49.91 ,44.92 ,1
9,3,47.06 ,65.73 ,54.36 ,51.87 ,40.85 ,1
10,10,58.95 ,51.08 ,67.08 ,25.24 ,50.49 ,1
16,9,51.10 ,46.42 ,41.12 ,41.50 ,37.71 ,1
13,10,67.23 ,46.05 ,53.27 ,36.81 ,44.67 ,1
25,10,47.53 ,43.00 ,36.36 ,53.64 ,39.82 ,1
13,9,47.79 ,53.21 ,38.36 ,40.71 ,52.28 ,1
11,2,68.43 ,41.31 ,45.93 ,38.62 ,38.31 ,1
11,0,44.20 ,43.41 ,71.08 ,69.04 ,57.64 ,1
11,10,61.56 ,26.15 ,42.96 ,45.95 ,49.15 ,1
14,6,43.94 ,64.90 ,70.45 ,57.89 ,57.57 ,1
34,13,62.22 ,47.65 ,49.94 ,53.66 ,34.61 ,1
17,3,54.82 ,37.78 ,46.72 ,40.80 ,38.44 ,1
15,21,70.33 ,33.77 ,56.54 ,30.90 ,37.11 ,1
9,9,33.77 ,57.16 ,52.03 ,58.93 ,42.40 ,1
21,16,60.31 ,43.67 ,53.59 ,51.60 ,44.97 ,1
9,9,48.82 ,54.76 ,44.37 ,57.52 ,54.49 ,1
10,9,46.93 ,60.34 ,55.99 ,51.87 ,53.29 ,1
36,46,72.00 ,50.47 ,69.31 ,51.93 ,42.65 ,1
9,10,51.11 ,59.76 ,61.40 ,51.91 ,45.98 ,1
20,8,67.55 ,42.33 ,56.00 ,53.87 ,27.48 ,1
18,5,69.10 ,49.33 ,51.41 ,41.22 ,31.12 ,1
17,3,61.34 ,34.45 ,54.46 ,46.42 ,41.31 ,1
11,6,54.93 ,50.44 ,49.38 ,53.76 ,28.42 ,1
14,8,71.94 ,33.05 ,51.07 ,35.10 ,31.02 ,1
26,18,53.44 ,38.41 ,54.22 ,38.69 ,54.75 ,1
16,9,57.15 ,25.96 ,36.90 ,59.55 ,24.69 ,1
23,22,71.87 ,38.74 ,68.75 ,13.88 ,41.06 ,1
16,10,59.20 ,35.04 ,46.37 ,49.20 ,51.84 ,1
18,11,58.15 ,49.74 ,43.59 ,47.98 ,51.93 ,1
13,5,43.88 ,59.45 ,55.91 ,81.88 ,44.07 ,1
13,6,37.20 ,61.50 ,41.40 ,59.13 ,60.91 ,1
9,5,45.28 ,55.12 ,70.58 ,55.76 ,43.70 ,1
39,39,71.33 ,50.52 ,43.21 ,51.18 ,50.23 ,1
9,5,50.98 ,56.04 ,76.53 ,29.11 ,40.51 ,1
26,24,51.40 ,49.82 ,60.34 ,49.75 ,55.98 ,1
17,14,49.28 ,26.39 ,33.29 ,49.96 ,44.71 ,1
19,12,46.19 ,55.15 ,51.07 ,41.40 ,42.63 ,1
18,6,59.36 ,48.48 ,59.40 ,47.82 ,42.42 ,1
22,12,47.81 ,65.86 ,56.43 ,55.46 ,39.78 ,1
15,10,73.61 ,58.23 ,75.24 ,38.90 ,31.66 ,1
10,8,58.95 ,43.51 ,42.10 ,34.55 ,42.30 ,1
21,12,50.17 ,33.56 ,48.45 ,36.72 ,48.60 ,1
31,20,70.40 ,47.60 ,85.04 ,65.16 ,32.43 ,1
33,19,70.84 ,42.85 ,50.28 ,57.55 ,34.69 ,1
15,9,41.74 ,47.52 ,52.81 ,42.24 ,47.97 ,1
31,20,65.31 ,45.94 ,59.39 ,46.38 ,59.34 ,1
37,10,63.93 ,39.64 ,51.60 ,22.31 ,47.96 ,1
12,7,49.87 ,39.95 ,71.44 ,40.46 ,33.80 ,1
24,26,59.08 ,17.21 ,38.27 ,34.73 ,39.28 ,1
10,9,55.66 ,56.51 ,60.76 ,51.90 ,44.50 ,1
10,7,43.00 ,45.71 ,53.80 ,64.93 ,52.75 ,1
20,25,58.76 ,40.09 ,63.92 ,48.09 ,38.24 ,1
14,3,53.25 ,43.19 ,55.15 ,44.00 ,42.54 ,1
11,1,56.82 ,40.08 ,48.67 ,71.02 ,34.96 ,1
16,20,69.51 ,33.78 ,45.98 ,46.10 ,27.35 ,1
10,10,42.11 ,51.83 ,51.77 ,46.82 ,48.76 ,1
30,28,59.31 ,62.17 ,80.61 ,57.53 ,36.34 ,1
12,8,55.97 ,33.09 ,56.95 ,44.11 ,37.33 ,1
12,8,47.78 ,49.38 ,55.86 ,65.11 ,44.78 ,1
22,24,58.90 ,47.42 ,73.13 ,46.32 ,40.76 ,1
16,3,69.23 ,43.95 ,73.69 ,40.80 ,32.60 ,1
26,13,59.05 ,56.62 ,64.30 ,40.25 ,32.82 ,1
13,9,47.58 ,61.85 ,58.74 ,59.56 ,46.91 ,1
19,13,63.60 ,27.20 ,54.26 ,50.48 ,31.80 ,1
16,8,56.87 ,51.33 ,67.52 ,63.36 ,40.94 ,1
17,16,75.75 ,31.23 ,43.31 ,21.61 ,29.99 ,1
20,10,61.46 ,32.24 ,48.40 ,30.88 ,34.66 ,1
12,12,66.36 ,35.40 ,16.90 ,55.41 ,46.54 ,1
19,5,69.50 ,37.87 ,43.40 ,37.80 ,19.93 ,1
9,9,54.59 ,44.37 ,58.83 ,59.42 ,40.09 ,1
17,13,50.17 ,26.38 ,69.81 ,36.84 ,48.74 ,1
13,9,60.72 ,37.14 ,37.92 ,51.52 ,44.76 ,1
16,15,45.35 ,55.63 ,44.69 ,66.97 ,48.68 ,1
28,17,64.34 ,45.10 ,55.15 ,40.39 ,39.41 ,1
18,12,52.22 ,55.29 ,79.55 ,59.42 ,42.96 ,1
27,20,60.55 ,28.97 ,59.55 ,73.13 ,51.49 ,1
11,21,71.75 ,38.76 ,66.01 ,74.56 ,39.31 ,1
27,9,68.47 ,39.35 ,51.09 ,40.54 ,41.33 ,1
15,4,60.17 ,37.75 ,46.40 ,36.58 ,24.86 ,1
19,23,62.63 ,32.42 ,65.42 ,57.45 ,49.83 ,1
19,15,48.82 ,41.56 ,38.29 ,57.53 ,46.61 ,1
18,10,61.49 ,28.12 ,44.96 ,42.59 ,42.22 ,1
13,9,59.09 ,52.39 ,62.34 ,38.49 ,31.04 ,1
22,15,63.25 ,29.47 ,48.93 ,37.16 ,52.97 ,1
14,11,46.30 ,38.84 ,68.45 ,57.68 ,41.60 ,1
16,9,58.05 ,19.70 ,55.81 ,24.95 ,38.52 ,1
11,7,42.80 ,46.59 ,67.99 ,46.31 ,46.66 ,1
12,8,47.29 ,44.48 ,30.67 ,55.21 ,50.63 ,1
23,8,64.74 ,30.09 ,31.69 ,59.49 ,48.94 ,1
21,20,53.30 ,42.30 ,51.40 ,49.72 ,43.69 ,1
16,8,59.25 ,56.13 ,59.45 ,42.05 ,37.70 ,1
31,43,73.05 ,47.36 ,72.26 ,49.68 ,29.37 ,1
16,12,56.96 ,41.58 ,73.81 ,38.64 ,45.87 ,1
19,11,50.94 ,53.28 ,40.95 ,25.46 ,46.19 ,1
18,1,49.87 ,44.49 ,31.69 ,33.08 ,58.36 ,1
22,29,79.16 ,54.53 ,59.41 ,48.26 ,31.74 ,1
18,5,50.29 ,54.45 ,58.15 ,44.19 ,39.58 ,1
14,9,64.15 ,52.07 ,50.98 ,46.37 ,36.36 ,1
16,14,53.58 ,48.69 ,44.88 ,49.83 ,39.63 ,1
21,10,50.98 ,36.47 ,68.99 ,65.36 ,39.24 ,1
12,7,59.18 ,49.43 ,60.18 ,40.52 ,50.61 ,1
18,9,64.95 ,41.75 ,53.99 ,55.32 ,28.33 ,1
12,9,49.38 ,57.40 ,56.68 ,46.39 ,49.10 ,1
30,20,73.20 ,35.92 ,62.96 ,35.18 ,30.92 ,1
12,10,53.34 ,41.83 ,66.45 ,36.76 ,42.45 ,1
18,9,52.60 ,56.89 ,58.77 ,55.36 ,34.07 ,1
19,9,38.30 ,26.70 ,30.66 ,38.50 ,48.14 ,1
14,9,50.91 ,41.22 ,56.40 ,57.64 ,40.89 ,1
21,19,56.69 ,43.71 ,58.35 ,55.44 ,35.97 ,1
22,10,53.72 ,52.24 ,54.87 ,49.82 ,40.76 ,1
13,10,52.89 ,55.95 ,48.26 ,65.04 ,42.04 ,1
34,26,75.05 ,40.06 ,70.26 ,55.74 ,44.20 ,1
17,10,58.09 ,43.58 ,50.23 ,54.08 ,44.73 ,1
27,30,67.97 ,31.19 ,35.90 ,43.43 ,22.24 ,1
12,10,41.82 ,43.79 ,59.60 ,51.60 ,55.86 ,1
14,5,50.34 ,42.76 ,42.89 ,57.70 ,54.18 ,1
17,10,56.58 ,42.33 ,45.92 ,57.91 ,34.15 ,1
11,9,40.89 ,55.47 ,41.80 ,61.17 ,46.69 ,1
15,6,56.36 ,36.09 ,21.97 ,53.60 ,30.45 ,1
17,9,73.08 ,40.14 ,56.14 ,42.51 ,26.87 ,1
15,10,55.52 ,38.63 ,46.77 ,44.54 ,45.25 ,1
28,25,55.33 ,37.58 ,57.25 ,57.86 ,41.52 ,1
24,12,59.93 ,34.53 ,32.03 ,46.75 ,38.15 ,1
11,11,52.44 ,62.14 ,52.63 ,48.02 ,45.73 ,1
13,11,45.68 ,27.92 ,48.40 ,53.41 ,44.87 ,1
19,16,66.08 ,46.80 ,60.80 ,42.77 ,51.80 ,1
12,8,42.89 ,53.67 ,60.49 ,50.03 ,50.67 ,1
11,8,65.26 ,43.97 ,54.26 ,51.63 ,23.34 ,1
14,11,50.78 ,55.35 ,52.40 ,53.43 ,42.72 ,1
10,10,41.12 ,58.85 ,39.53 ,59.23 ,40.73 ,1
23,13,61.35 ,45.63 ,57.69 ,51.81 ,34.05 ,1
35,17,64.96 ,17.06 ,26.14 ,70.88 ,34.41 ,1
9,6,54.69 ,38.78 ,53.55 ,55.54 ,45.69 ,1
12,10,59.26 ,52.27 ,68.45 ,61.51 ,48.83 ,1
18,10,45.87 ,40.90 ,44.62 ,42.79 ,46.64 ,1
28,14,64.38 ,51.19 ,64.45 ,55.45 ,49.73 ,1
26,24,70.83 ,31.94 ,66.43 ,26.98 ,23.17 ,1
11,7,40.63 ,28.90 ,37.86 ,61.05 ,30.25 ,1
18,13,58.64 ,34.43 ,61.95 ,53.62 ,33.37 ,1
20,15,62.70 ,32.50 ,50.12 ,38.62 ,34.85 ,1
17,8,66.61 ,51.07 ,57.45 ,53.76 ,22.80 ,1
12,7,45.30 ,52.61 ,54.07 ,63.42 ,35.22 ,1
21,14,71.91 ,42.04 ,43.54 ,34.86 ,24.29 ,1
19,6,66.90 ,44.93 ,42.21 ,51.79 ,28.23 ,1
22,13,41.76 ,45.69 ,58.24 ,65.11 ,49.08 ,1
26,30,63.36 ,42.48 ,48.15 ,53.81 ,33.86 ,1
20,24,67.43 ,11.08 ,30.66 ,15.75 ,54.62 ,1
15,13,60.09 ,34.73 ,51.89 ,44.21 ,59.61 ,1
15,12,69.39 ,37.30 ,59.32 ,51.89 ,47.79 ,1
17,10,49.67 ,53.23 ,70.14 ,46.45 ,55.07 ,1
10,13,52.06 ,39.89 ,18.41 ,44.33 ,44.46 ,1
20,19,56.67 ,33.68 ,46.65 ,50.11 ,39.23 ,1
12,8,71.21 ,35.98 ,50.24 ,48.49 ,50.55 ,1
14,10,53.69 ,38.64 ,62.65 ,48.27 ,42.08 ,1
16,5,56.71 ,41.98 ,59.52 ,49.98 ,38.79 ,1
32,19,68.37 ,30.02 ,49.36 ,32.72 ,29.58 ,1
15,8,48.81 ,42.47 ,49.74 ,65.10 ,43.04 ,1
25,12,79.96 ,37.35 ,50.01 ,48.26 ,37.13 ,1
23,14,65.90 ,54.82 ,60.71 ,40.87 ,35.46 ,1
28,11,60.43 ,29.84 ,42.20 ,53.43 ,36.36 ,1
21,18,58.79 ,50.59 ,45.47 ,55.43 ,43.72 ,1
36,35,82.25 ,29.65 ,37.47 ,38.89 ,32.22 ,1
13,9,45.51 ,37.14 ,56.90 ,59.20 ,30.25 ,1
13,9,55.39 ,51.48 ,54.95 ,49.87 ,62.12 ,1
21,12,41.96 ,49.44 ,44.47 ,67.04 ,54.38 ,1
14,11,54.12 ,52.46 ,70.46 ,57.35 ,46.39 ,1
12,8,60.50 ,33.49 ,69.73 ,32.55 ,40.15 ,1
19,22,53.22 ,34.33 ,43.15 ,38.33 ,50.00 ,1
19,13,58.23 ,44.85 ,54.26 ,41.93 ,26.04 ,1
11,10,44.22 ,61.36 ,44.30 ,59.49 ,54.82 ,1
20,9,56.76 ,39.69 ,73.20 ,48.21 ,44.91 ,1
22,13,49.38 ,24.27 ,51.18 ,55.15 ,24.58 ,1
9,9,44.12 ,36.97 ,50.20 ,62.83 ,49.72 ,1
25,15,47.85 ,42.30 ,62.04 ,42.32 ,47.90 ,1
26,13,56.80 ,57.19 ,53.03 ,42.67 ,38.09 ,1
16,12,46.60 ,71.95 ,44.14 ,37.44 ,41.88 ,1
37,19,59.12 ,47.16 ,58.37 ,44.31 ,42.36 ,1
19,9,52.38 ,42.06 ,48.34 ,48.10 ,28.96 ,1
10,10,45.15 ,49.97 ,59.88 ,46.11 ,41.96 ,1
12,9,53.45 ,31.68 ,25.02 ,52.03 ,39.64 ,1
15,12,60.42 ,34.70 ,25.35 ,52.20 ,44.02 ,1
28,18,49.28 ,46.95 ,77.30 ,42.39 ,58.18 ,1
19,9,57.16 ,45.23 ,51.37 ,40.73 ,50.98 ,1
15,13,58.84 ,33.63 ,74.19 ,44.24 ,52.58 ,1
18,25,64.67 ,32.37 ,51.38 ,63.07 ,33.66 ,1
11,9,37.16 ,58.48 ,56.82 ,48.22 ,54.49 ,1
20,12,47.51 ,37.20 ,31.56 ,51.92 ,46.38 ,1
17,3,60.16 ,38.01 ,69.63 ,33.10 ,62.25 ,1
28,24,68.49 ,37.17 ,40.29 ,57.51 ,55.04 ,1
23,16,56.80 ,49.23 ,43.94 ,59.59 ,50.49 ,1
15,11,49.87 ,39.85 ,63.13 ,63.36 ,47.36 ,1
21,18,61.70 ,57.00 ,55.25 ,48.19 ,39.99 ,1
14,8,53.62 ,21.47 ,38.29 ,46.02 ,29.83 ,1
18,26,77.38 ,26.41 ,58.55 ,50.09 ,36.87 ,1
26,17,54.34 ,53.82 ,73.50 ,65.04 ,46.22 ,1
22,19,57.84 ,18.80 ,46.52 ,40.55 ,24.71 ,1
17,10,67.42 ,46.24 ,58.49 ,42.75 ,25.79 ,1
9,10,54.74 ,53.08 ,58.54 ,67.57 ,50.70 ,1
13,9,62.65 ,28.48 ,30.98 ,44.34 ,37.81 ,1
25,25,75.37 ,40.95 ,56.43 ,33.17 ,38.56 ,1
20,10,53.07 ,15.39 ,25.30 ,51.06 ,43.08 ,1
15,12,50.90 ,32.51 ,58.63 ,59.83 ,39.11 ,1
18,17,60.32 ,34.61 ,48.36 ,53.95 ,38.11 ,1
18,9,51.04 ,57.23 ,58.14 ,35.07 ,51.79 ,1
25,8,64.97 ,46.40 ,58.17 ,40.15 ,29.92 ,1
16,12,65.26 ,48.50 ,64.51 ,56.00 ,33.50 ,1
28,12,54.36 ,19.36 ,43.02 ,47.91 ,53.08 ,1
16,12,39.37 ,39.86 ,53.59 ,57.44 ,46.72 ,1
16,11,50.43 ,43.92 ,47.72 ,51.78 ,29.95 ,1
18,2,53.18 ,36.99 ,41.45 ,59.66 ,51.70 ,1
18,16,39.48 ,51.44 ,33.84 ,46.58 ,42.60 ,1
15,9,58.25 ,41.86 ,48.68 ,53.89 ,36.96 ,1
14,10,45.43 ,38.08 ,55.93 ,52.03 ,35.64 ,1
27,19,77.81 ,27.80 ,28.79 ,46.12 ,43.16 ,1
18,7,67.71 ,25.30 ,30.21 ,48.00 ,36.05 ,1
10,0,57.56 ,52.53 ,71.88 ,48.02 ,45.40 ,1
27,9,56.66 ,24.85 ,39.94 ,45.88 ,33.59 ,1
12,12,54.66 ,48.52 ,37.75 ,59.17 ,56.18 ,1
19,12,61.62 ,39.48 ,31.60 ,22.27 ,57.49 ,1
22,12,60.06 ,36.24 ,45.58 ,44.32 ,29.83 ,1
21,18,56.50 ,35.69 ,57.64 ,61.43 ,46.56 ,1
17,6,53.31 ,47.55 ,39.53 ,59.27 ,46.78 ,1
19,6,55.59 ,52.01 ,65.11 ,31.03 ,46.28 ,1
14,10,61.61 ,49.02 ,82.86 ,48.01 ,33.87 ,1
14,5,54.46 ,45.21 ,40.35 ,47.83 ,37.12 ,1
28,16,62.25 ,37.20 ,62.64 ,41.90 ,40.49 ,1
12,6,50.47 ,55.66 ,58.71 ,46.16 ,52.34 ,1
16,9,55.51 ,30.32 ,51.81 ,47.97 ,39.60 ,1
14,11,36.19 ,54.99 ,60.00 ,66.85 ,51.73 ,1
14,20,48.94 ,55.32 ,61.98 ,36.71 ,41.16 ,1
11,9,57.18 ,48.87 ,59.74 ,48.08 ,44.06 ,1
11,10,47.32 ,39.59 ,55.48 ,59.36 ,43.58 ,1
16,6,55.24 ,63.26 ,66.41 ,59.76 ,41.38 ,1
9,11,50.18 ,43.76 ,48.17 ,49.51 ,35.11 ,1
24,11,56.50 ,52.69 ,57.58 ,46.28 ,29.90 ,1
13,11,50.62 ,44.70 ,61.11 ,58.99 ,34.46 ,1
28,14,41.73 ,34.93 ,60.82 ,40.38 ,53.25 ,1
18,7,62.37 ,47.86 ,60.38 ,48.40 ,33.38 ,1
17,11,59.37 ,41.89 ,61.28 ,55.62 ,33.46 ,1
31,17,58.88 ,51.85 ,55.44 ,63.04 ,51.24 ,1
25,14,61.71 ,48.48 ,46.12 ,51.68 ,34.23 ,1
17,8,72.03 ,34.02 ,47.86 ,44.14 ,32.07 ,1
10,8,41.93 ,51.71 ,67.53 ,40.37 ,50.11 ,1
19,6,66.29 ,49.84 ,47.05 ,33.07 ,39.74 ,1
24,11,49.39 ,40.86 ,50.25 ,46.09 ,53.62 ,1
19,15,42.90 ,58.11 ,53.22 ,42.08 ,54.81 ,1
16,11,50.10 ,61.05 ,75.75 ,53.77 ,52.17 ,1
31,30,68.20 ,6.06 ,29.71 ,59.00 ,30.53 ,1
16,1,55.03 ,57.20 ,32.90 ,49.83 ,28.44 ,1
24,15,61.31 ,27.01 ,38.60 ,38.51 ,24.31 ,1
14,9,60.08 ,59.58 ,74.49 ,57.72 ,48.11 ,1
20,12,63.18 ,45.17 ,52.64 ,45.90 ,43.09 ,1
12,1,55.31 ,58.63 ,56.03 ,36.76 ,51.59 ,1
14,8,48.65 ,34.63 ,41.98 ,53.93 ,52.93 ,1
14,2,55.31 ,34.39 ,47.60 ,51.98 ,45.70 ,1
21,12,54.44 ,53.36 ,64.95 ,38.75 ,50.87 ,1
28,10,59.50 ,38.19 ,17.54 ,51.95 ,45.52 ,1
12,6,45.09 ,53.85 ,58.66 ,59.45 ,36.44 ,1
15,7,47.84 ,49.96 ,74.07 ,47.92 ,47.85 ,1
19,11,58.81 ,58.87 ,64.70 ,40.84 ,45.36 ,1
12,12,52.27 ,30.44 ,28.87 ,49.84 ,29.97 ,1
18,0,47.54 ,39.13 ,38.28 ,50.26 ,36.05 ,1
18,12,55.78 ,48.81 ,55.31 ,44.29 ,29.92 ,1
21,17,57.01 ,44.53 ,45.85 ,38.81 ,58.08 ,1
15,10,67.11 ,34.89 ,27.91 ,30.66 ,36.25 ,1
27,14,47.59 ,47.74 ,66.65 ,45.98 ,47.65 ,1
13,10,48.94 ,51.48 ,47.49 ,19.56 ,47.65 ,1
9,9,38.09 ,44.77 ,65.76 ,61.36 ,59.11 ,1
14,9,45.20 ,50.79 ,61.52 ,51.96 ,40.39 ,1
26,17,66.71 ,31.53 ,64.18 ,32.74 ,54.85 ,1
20,19,60.87 ,49.87 ,83.62 ,48.00 ,39.18 ,1
27,22,63.71 ,37.29 ,51.81 ,43.78 ,27.15 ,1
19,11,85.85 ,37.37 ,35.03 ,36.94 ,16.39 ,1
16,8,71.56 ,36.46 ,53.83 ,25.32 ,35.42 ,1
9,6,54.37 ,37.16 ,52.97 ,52.07 ,44.65 ,1
15,30,62.45 ,40.15 ,59.98 ,51.84 ,28.83 ,1
19,11,62.53 ,39.99 ,49.18 ,28.86 ,29.81 ,1
18,13,55.77 ,53.50 ,64.82 ,38.58 ,51.65 ,1
14,10,56.86 ,50.96 ,55.46 ,59.36 ,34.46 ,1
13,0,63.81 ,34.69 ,45.74 ,40.07 ,35.41 ,1
34,20,55.54 ,37.74 ,62.12 ,36.71 ,46.65 ,1
12,12,45.48 ,42.70 ,56.60 ,57.51 ,39.41 ,1
15,18,49.87 ,58.39 ,54.97 ,48.37 ,35.07 ,1
11,0,48.33 ,45.12 ,51.84 ,44.11 ,44.69 ,1
21,9,58.73 ,51.55 ,59.57 ,46.37 ,45.94 ,1
27,22,66.02 ,43.27 ,62.84 ,40.42 ,40.68 ,1
17,7,48.94 ,52.87 ,42.16 ,57.51 ,41.42 ,1
15,8,53.83 ,47.30 ,46.85 ,51.86 ,42.32 ,1
11,7,55.02 ,41.06 ,30.74 ,52.83 ,41.78 ,1
18,7,54.61 ,44.99 ,52.02 ,46.18 ,40.59 ,1
18,9,54.46 ,34.89 ,28.43 ,51.86 ,26.87 ,1
18,13,61.24 ,45.74 ,44.94 ,53.27 ,41.47 ,1
10,4,60.45 ,53.84 ,37.37 ,58.26 ,53.48 ,1
14,6,55.20 ,55.56 ,64.46 ,38.41 ,53.27 ,1
25,21,63.82 ,52.61 ,68.37 ,42.69 ,40.45 ,1
13,10,56.89 ,32.41 ,53.94 ,68.70 ,51.56 ,1
16,9,70.18 ,48.48 ,67.47 ,48.17 ,28.36 ,1
14,7,54.97 ,37.54 ,53.57 ,67.21 ,47.15 ,1
18,13,59.09 ,47.23 ,70.42 ,63.21 ,40.33 ,1
14,11,49.17 ,50.60 ,44.84 ,36.90 ,43.11 ,1
15,15,59.05 ,38.73 ,25.78 ,47.94 ,47.64 ,1
22,5,64.71 ,28.96 ,29.62 ,46.09 ,23.08 ,1
15,11,51.30 ,48.09 ,65.92 ,23.56 ,51.61 ,1
10,8,55.47 ,45.12 ,37.86 ,59.03 ,26.81 ,1
11,9,49.35 ,47.10 ,58.03 ,38.52 ,43.13 ,1
22,8,60.19 ,43.75 ,28.68 ,47.80 ,36.21 ,1
28,9,62.76 ,52.20 ,62.81 ,23.20 ,50.12 ,1
12,10,39.26 ,58.20 ,55.12 ,52.88 ,42.48 ,1
9,10,47.51 ,58.43 ,52.41 ,64.93 ,64.96 ,1
18,5,55.80 ,42.37 ,56.65 ,36.55 ,44.05 ,1
12,0,49.61 ,58.66 ,57.47 ,71.00 ,57.22 ,1
14,6,51.02 ,42.70 ,50.72 ,61.14 ,40.91 ,1
19,17,63.56 ,45.14 ,46.90 ,51.80 ,37.03 ,1
20,14,65.81 ,36.40 ,51.92 ,61.17 ,38.46 ,1
37,33,68.30 ,40.89 ,60.46 ,51.48 ,45.44 ,1
32,31,77.95 ,36.13 ,36.50 ,38.45 ,37.22 ,1
20,8,71.28 ,41.39 ,46.09 ,35.03 ,33.08 ,1
18,23,57.70 ,31.22 ,59.31 ,46.13 ,45.02 ,1
14,13,56.37 ,48.33 ,38.22 ,53.65 ,46.33 ,1
15,2,67.30 ,28.15 ,33.08 ,42.25 ,39.25 ,1
16,9,64.83 ,44.96 ,61.52 ,42.30 ,29.40 ,1
11,13,50.04 ,38.32 ,51.29 ,55.48 ,49.24 ,1
12,9,55.38 ,37.61 ,56.12 ,49.66 ,40.83 ,1
12,9,44.65 ,50.84 ,54.49 ,31.88 ,47.87 ,1
11,9,45.67 ,51.02 ,65.13 ,49.93 ,46.65 ,1
11,9,47.74 ,46.02 ,51.80 ,59.27 ,46.83 ,1
29,18,57.87 ,52.23 ,65.13 ,30.91 ,52.96 ,1
12,10,56.54 ,42.18 ,50.74 ,59.40 ,35.48 ,1
19,7,46.36 ,60.38 ,66.94 ,51.88 ,61.71 ,1
15,11,61.52 ,41.65 ,46.74 ,44.36 ,43.35 ,1
25,16,67.13 ,38.32 ,39.88 ,55.57 ,26.75 ,1
25,3,68.46 ,34.95 ,35.05 ,34.87 ,31.66 ,1
13,8,56.97 ,36.96 ,41.00 ,51.57 ,26.33 ,1
21,11,54.61 ,36.19 ,50.48 ,55.70 ,46.23 ,1
17,25,56.73 ,51.90 ,55.84 ,53.45 ,23.92 ,1
16,9,44.12 ,67.90 ,55.50 ,76.15 ,54.39 ,1
25,11,53.66 ,39.13 ,53.10 ,64.75 ,45.24 ,1
31,33,60.13 ,29.82 ,53.90 ,51.58 ,51.35 ,1
11,0,54.62 ,53.57 ,54.27 ,48.04 ,33.32 ,1
12,11,40.88 ,54.48 ,61.42 ,29.25 ,55.08 ,1
25,0,54.70 ,38.36 ,35.42 ,68.76 ,45.87 ,1
21,11,58.63 ,46.16 ,41.86 ,42.50 ,46.91 ,1
29,25,62.41 ,57.22 ,64.88 ,36.43 ,49.24 ,1
23,11,59.57 ,63.49 ,71.27 ,57.22 ,36.73 ,1
18,3,49.92 ,53.96 ,57.42 ,51.92 ,51.54 ,1
13,7,49.11 ,36.33 ,38.46 ,38.56 ,43.60 ,1
21,7,60.31 ,39.55 ,46.86 ,42.20 ,35.39 ,1
36,39,66.76 ,30.93 ,56.33 ,42.26 ,33.62 ,1
18,4,54.60 ,48.39 ,50.37 ,42.04 ,29.43 ,1
29,2,73.87 ,34.52 ,42.79 ,38.91 ,45.99 ,1
19,15,44.92 ,45.84 ,68.99 ,70.74 ,60.00 ,1
15,9,61.37 ,30.35 ,33.52 ,46.04 ,41.65 ,1
11,9,49.86 ,52.18 ,50.52 ,55.70 ,38.25 ,1
12,9,42.94 ,41.92 ,65.81 ,44.26 ,46.07 ,1
9,4,44.65 ,40.65 ,54.41 ,73.02 ,39.20 ,1
29,4,48.97 ,50.11 ,56.66 ,34.71 ,39.76 ,1
11,10,58.42 ,50.61 ,38.01 ,46.36 ,34.63 ,1
16,5,61.01 ,40.43 ,37.72 ,63.73 ,41.30 ,1
12,12,44.13 ,49.48 ,43.25 ,66.85 ,47.25 ,1
16,8,56.52 ,45.71 ,45.52 ,37.31 ,42.41 ,1
17,4,52.17 ,49.57 ,36.42 ,61.32 ,51.29 ,1
17,8,48.96 ,57.42 ,71.44 ,46.11 ,57.68 ,1
18,6,68.13 ,30.32 ,41.66 ,27.42 ,41.65 ,1
9,9,53.13 ,51.02 ,46.24 ,48.90 ,43.14 ,1
24,7,63.83 ,55.07 ,48.81 ,57.49 ,48.93 ,1
15,9,55.66 ,32.15 ,70.51 ,68.66 ,45.03 ,1
17,0,56.72 ,46.06 ,46.70 ,49.97 ,35.17 ,1
23,22,56.70 ,45.14 ,49.05 ,34.96 ,34.80 ,1
11,7,55.24 ,41.94 ,58.16 ,59.59 ,42.19 ,1
18,9,50.89 ,54.02 ,70.22 ,51.77 ,47.48 ,1
12,9,44.06 ,17.29 ,23.57 ,63.54 ,29.23 ,1
16,10,46.18 ,51.24 ,46.08 ,41.99 ,59.15 ,1
12,0,54.53 ,52.84 ,52.70 ,50.09 ,45.03 ,1
17,12,51.85 ,47.44 ,44.44 ,39.87 ,38.41 ,1
35,17,69.68 ,35.44 ,38.52 ,38.89 ,17.04 ,1
28,10,64.47 ,43.20 ,43.16 ,46.51 ,31.94 ,1
