"","title","type","year","rating","imdb_score","decade","genre"
"294","Godzilla","Movie/Other",1954,"PG/TV-PG",7.6,"1950-1959","Sci-Fi"
"295","War Dogs","Movie/Other",2016,"R/TV-MA",7.1,"2010-2019","Crime"
"296","The Kids Are All Right","Movie/Other",2010,"R/TV-MA",7,"2010-2019","Drama"
"297","Paul","Movie/Other",2011,"R/TV-MA",7,"2010-2019","Action/Adventure"
"298","Madagascar","Movie/Other",2005,"PG/TV-PG",6.9,"2000-2009","Comedy"
"299","Down by Law","Movie/Other",1986,"R/TV-MA",7.8,"1980-1989","Comedy"
"300","Whose Line Is It Anyway?","TV",1998,"PG/TV-PG",8.5,"1990-1999","Family"
"301","American Animals","Movie/Other",2018,"R/TV-MA",7,"2010-2019","Mystery"
"302","Deadwood: The Movie","Movie/Other",2019,"R/TV-MA",7.4,"2010-2019","Drama"
"303","Babe","Movie/Other",1995,"G/TV-G",6.7,"1990-1999","Comedy"
"304","American Pie","Movie/Other",1999,"R/TV-MA",7,"1990-1999","Romance"
"305","The Boondocks","TV",2005,"R/TV-MA",8.4,"2000-2009","Comedy"
"306","Brief Encounter","Movie/Other",1945,"PG-13/TV-14",8,"1940-1949","Romance"
"307","The Thick of It","TV",2005,"R/TV-MA",8.7,"2000-2009","Comedy"
"308","Friday Night Lights","Movie/Other",2004,"PG-13/TV-14",7.2,"2000-2009","Action/Adventure"
"309","The Fresh Prince of Bel-Air","TV",1990,"PG/TV-PG",7.9,"1990-1999","Comedy"
"310","American Splendor","Movie/Other",2003,"R/TV-MA",7.4,"2000-2009","Comedy"
"311","Bound","Movie/Other",1996,"R/TV-MA",7.3,"1990-1999","Crime"
"312","Generation Kill","TV",2008,"R/TV-MA",8.5,"2000-2009","Action/Adventure"
"313","Dead Man","Movie/Other",1995,"R/TV-MA",7.6,"1990-1999","Fantasy"
"314","Of Mice and Men","Movie/Other",1992,"PG-13/TV-14",7.5,"1990-1999","Action/Adventure"
"315","Of Mice and Men","Movie/Other",1992,"PG-13/TV-14",7.5,"1990-1999","Drama"
"316","Of Mice and Men","Movie/Other",1939,"PG/TV-PG",7.9,"1930-1939","Action/Adventure"
"317","Of Mice and Men","Movie/Other",1939,"PG/TV-PG",7.9,"1930-1939","Drama"
"318","Pretty in Pink","Movie/Other",1986,"PG-13/TV-14",6.8,"1980-1989","Comedy"
"319","Insecure","TV",2016,"R/TV-MA",7.9,"2010-2019","Comedy"
"320","Madagascar 3: Europe's Most Wanted","Movie/Other",2012,"PG/TV-PG",6.8,"2010-2019","Family"
"321","The Umbrellas of Cherbourg","Movie/Other",1964,"PG-13/TV-14",7.8,"1960-1969","Drama"
"322","Half Nelson","Movie/Other",2006,"R/TV-MA",7.2,"2000-2009","Drama"
"323","Fantastic Planet","Movie/Other",1973,"PG/TV-PG",7.8,"1970-1979","Sci-Fi"
"324","Hanna","Movie/Other",2011,"PG-13/TV-14",6.8,"2010-2019","Thriller"
"325","Giant","Movie/Other",1956,"G/TV-G",7.6,"1950-1959","Romance"
"326","Quantum of Solace","Movie/Other",2008,"PG-13/TV-14",6.6,"2000-2009","Crime"
"327","Blinded by the Light","Movie/Other",2019,"PG-13/TV-14",6.9,"2010-2019","Musical"
"328","Shooter","Movie/Other",2007,"R/TV-MA",7.2,"2000-2009","Thriller"
"329","What About Bob?","Movie/Other",1991,"PG/TV-PG",7,"1990-1999","Comedy"
"330","East of Eden","Movie/Other",1955,"PG/TV-PG",7.9,"1950-1959","Romance"
"331","Cries and Whispers","Movie/Other",1972,"R/TV-MA",8.1,"1970-1979","Drama"
"332","Midnight Special","Movie/Other",2016,"PG-13/TV-14",6.6,"2010-2019","Mystery"
"333","Loving","Movie/Other",2016,"PG-13/TV-14",7,"2010-2019","Drama"
"334","Inside No. 9","TV",2014,"R/TV-MA",8.5,"2010-2019","Mystery"
"335","Valkyrie","Movie/Other",2008,"PG-13/TV-14",7.1,"2000-2009","Thriller"
"336","Thirteen Days","Movie/Other",2000,"PG-13/TV-14",7.3,"2000-2009","Thriller"
"337","Cobain: Montage of Heck","Movie/Other",2015,"R/TV-MA",7.5,"2010-2019","Documentary"
"338","Time Bandits","Movie/Other",1981,"PG/TV-PG",7,"1980-1989","Family"
"339","Open Range","Movie/Other",2003,"R/TV-MA",7.4,"2000-2009","Action/Adventure"
"340","My Dinner with Andre","Movie/Other",1981,"PG/TV-PG",7.8,"1980-1989","Drama"
"341","Justice League","Movie/Other",2017,"PG-13/TV-14",6.4,"2010-2019","Fantasy"
"342","Juice","Movie/Other",1992,"R/TV-MA",7.1,"1990-1999","Action/Adventure"
"343","The Outsiders","Movie/Other",1983,"PG/TV-PG",7.1,"1980-1989","Drama"
"344","John Adams","TV",2008,"PG-13/TV-14",8.5,"2000-2009","Biography"
"345","The SpongeBob SquarePants Movie","Movie/Other",2004,"PG/TV-PG",7.1,"2000-2009","Sci-Fi"
"346","Flipped","Movie/Other",2010,"PG/TV-PG",7.7,"2010-2019","Drama"
"347","March of the Penguins","Movie/Other",2005,"G/TV-G",7.5,"2000-2009","Documentary"
"348","The Tree of Life","Movie/Other",2011,"PG-13/TV-14",6.8,"2010-2019","Drama"
"349","Stranger Than Paradise","Movie/Other",1984,"R/TV-MA",7.5,"1980-1989","Comedy"
"350","The Lego Movie 2: The Second Part","Movie/Other",2019,"PG/TV-PG",6.6,"2010-2019","Family"
"351","Chocolat","Movie/Other",2000,"PG-13/TV-14",7.2,"2000-2009","Romance"
"352","Autumn Sonata","Movie/Other",1978,"PG/TV-PG",8.3,"1970-1979","Musical"
"353","Armageddon","Movie/Other",1998,"PG-13/TV-14",6.7,"1990-1999","Action/Adventure"
"354","Teen Titans","TV",2003,"PG/TV-PG",7.8,"2000-2009","Action/Adventure"
"355","Body Heat","Movie/Other",1981,"R/TV-MA",7.4,"1980-1989","Crime"
"356","Sophie's Choice","Movie/Other",1982,"R/TV-MA",7.6,"1980-1989","Romance"
"357","From Up on Poppy Hill","Movie/Other",2011,"PG/TV-PG",7.4,"2010-2019","Family"
"358","Mr. & Mrs. Smith","Movie/Other",2005,"PG-13/TV-14",6.5,"2000-2009","Thriller"
"359","Watership Down","Movie/Other",1978,"PG/TV-PG",7.6,"1970-1979","Animation"
"360","The Cat Returns","Movie/Other",2002,"G/TV-G",7.2,"2000-2009","Family"
"361","Mildred Pierce","TV",2011,"R/TV-MA",7.7,"2010-2019","Mystery"
"362","Mildred Pierce","TV",2011,"R/TV-MA",7.7,"2010-2019","Drama"
"363","Maria Full of Grace","Movie/Other",2004,"R/TV-MA",7.4,"2000-2009","Drama"
"364","He Got Game","Movie/Other",1998,"R/TV-MA",6.9,"1990-1999","Drama"
"365","Robin Williams: Come Inside My Mind","Movie/Other",2018,"R/TV-MA",8,"2010-2019","Comedy"
"366","Cold Mountain","Movie/Other",2003,"R/TV-MA",7.2,"2000-2009","Action/Adventure"
"367","A Perfect World","Movie/Other",1993,"PG-13/TV-14",7.6,"1990-1999","Thriller"
"368","Death at a Funeral","Movie/Other",2007,"R/TV-MA",7.4,"2000-2009","Drama"
"369","Night on Earth","Movie/Other",1991,"R/TV-MA",7.8,"1990-1999","Comedy"
"370","Gia","Movie/Other",1998,"R/TV-MA",7,"1990-1999","Romance"
"371","Primal","TV",2019,"PG-13/TV-14",8.7,"2010-2019","Fantasy"
"372","The Deuce","TV",2017,"R/TV-MA",8.1,"2010-2019","Drama"
"373","Funny Games","Movie/Other",1997,"R/TV-MA",7.6,"1990-1999","Drama"
"374","Babette's Feast","Movie/Other",1987,"G/TV-G",7.8,"1980-1989","Comedy"
"375","Batman Beyond: Return of the Joker","Movie/Other",2000,"PG-13/TV-14",7.8,"2000-2009","Action/Adventure"
"376","The Alienist","TV",2018,"R/TV-MA",7.7,"2010-2019","Crime"
"377","My Big Fat Greek Wedding","Movie/Other",2002,"PG/TV-PG",6.5,"2000-2009","Drama"
"378","Limelight","Movie/Other",1952,"G/TV-G",8.1,"1950-1959","Romance"
"379","Uncle Buck","Movie/Other",1989,"PG/TV-PG",7,"1980-1989","Comedy"
"380","Buena Vista Social Club","Movie/Other",1999,"G/TV-G",7.7,"1990-1999","Musical"
"381","I Know This Much Is True","TV",2020,"R/TV-MA",8.2,"2020-2029","Drama"
"382","Commando","Movie/Other",1985,"R/TV-MA",6.7,"1980-1989","Action/Adventure"
"383","The Secret Garden","Movie/Other",1993,"G/TV-G",7.3,"1990-1999","Family"
"384","Mamma Mia! Here We Go Again","Movie/Other",2018,"PG-13/TV-14",6.7,"2010-2019","Romance"
"385","Batman vs. Robin","Movie/Other",2015,"PG-13/TV-14",7.1,"2010-2019","Family"
"386","Spielberg","Movie/Other",2017,"R/TV-MA",7.7,"2010-2019","Biography"
"387","Picnic at Hanging Rock","Movie/Other",1975,"PG/TV-PG",7.5,"1970-1979","Thriller"
"388","You've Got Mail","Movie/Other",1998,"PG/TV-PG",6.6,"1990-1999","Drama"
"389","Twin Peaks: Fire Walk with Me","Movie/Other",1992,"R/TV-MA",7.3,"1990-1999","Thriller"
"390","Boy Erased","Movie/Other",2018,"R/TV-MA",6.9,"2010-2019","LGBTQ"
"391","Andre the Giant","Movie/Other",2018,"PG-13/TV-14",7.8,"2010-2019","Documentary"
"392","The Kite Runner","Movie/Other",2007,"PG-13/TV-14",7.6,"2000-2009","Drama"
"393","The Judge","Movie/Other",2014,"R/TV-MA",7.4,"2010-2019","Crime"
"394","Reds","Movie/Other",1981,"PG/TV-PG",7.3,"1980-1989","History"
"395","And the Band Played On","Movie/Other",1993,"PG-13/TV-14",7.8,"1990-1999","LGBTQ"
"396","Mommy Dead and Dearest","Movie/Other",2017,"R/TV-MA",7.4,"2010-2019","Crime"
"397","Top Gear","TV",2002,"PG/TV-PG",8.7,"2000-2009","Comedy"
"398","Adam's Rib","Movie/Other",1949,"PG/TV-PG",7.5,"1940-1949","Romance"
"399","Gimme Shelter","Movie/Other",1970,"R/TV-MA",7.9,"1970-1979","Thriller"
"400","McCabe & Mrs. Miller","Movie/Other",1971,"R/TV-MA",7.7,"1970-1979","Drama"
"401","Lights Out","Movie/Other",2016,"PG-13/TV-14",6.3,"2010-2019","Horror"
"402","Quadrophenia","Movie/Other",1979,"R/TV-MA",7.3,"1970-1979","Cult"
"403","Happy Feet","Movie/Other",2006,"PG/TV-PG",6.4,"2000-2009","Comedy"
"404","Behind the Candelabra","Movie/Other",2013,"R/TV-MA",7,"2010-2019","Drama"
"405","The O.C.","TV",2003,"PG-13/TV-14",7.5,"2000-2009","Comedy"
"406","Opening Night","Movie/Other",1977,"PG-13/TV-14",8,"1970-1979","Independent"
"407","Mr. Holland's Opus","Movie/Other",1995,"PG/TV-PG",7.3,"1990-1999","Family"
"408","The Defiant Ones","TV",2017,"R/TV-MA",8.5,"2010-2019","Biography"
"409","Benny & Joon","Movie/Other",1993,"PG/TV-PG",7.2,"1990-1999","Romance"
"410","Onibaba","Movie/Other",1964,"R/TV-MA",8,"1960-1969","Horror"
"411","Sex and the City","TV",1998,"R/TV-MA",7.1,"1990-1999","Drama"
"412","Defending Your Life","Movie/Other",1991,"PG/TV-PG",7.2,"1990-1999","Fantasy"
"413","The Thomas Crown Affair","Movie/Other",1999,"R/TV-MA",6.8,"1990-1999","Drama"
"414","Batman v Superman: Dawn of Justice","Movie/Other",2016,"PG-13/TV-14",6.5,"2010-2019","Drama"
"415","The Marriage of Maria Braun","Movie/Other",1979,"R/TV-MA",7.8,"1970-1979","Drama"
"416","The Frighteners","Movie/Other",1996,"R/TV-MA",7.1,"1990-1999","Fantasy"
"417","Ballers","TV",2015,"R/TV-MA",7.6,"2010-2019","Sport"
"418","The Art of Racing in the Rain","Movie/Other",2019,"PG/TV-PG",7.5,"2010-2019","Romance"
"419","Some Kind of Wonderful","Movie/Other",1987,"PG-13/TV-14",7.1,"1980-1989","Drama"
"420","My Night at Maud's","Movie/Other",1969,"PG/TV-PG",8,"1960-1969","Romance"
"421","Angels in America","TV",2003,"R/TV-MA",8.2,"2000-2009","LGBTQ"
"422","The Good Liar","Movie/Other",2019,"R/TV-MA",6.6,"2010-2019","Crime"
"423","Veronica Mars","Movie/Other",2014,"PG-13/TV-14",6.8,"2010-2019","Comedy"
"424","Gavin & Stacey","TV",2007,"PG-13/TV-14",8.1,"2000-2009","Romance"
"425","An Officer and a Gentleman","Movie/Other",1982,"R/TV-MA",7,"1980-1989","Romance"
"426","Vampyr","Movie/Other",1932,"PG-13/TV-14",7.6,"1930-1939","Fantasy"
"427","Harlan County U.S.A.","Movie/Other",1976,"PG/TV-PG",8.3,"1970-1979","Documentary"
"428","Dolores Claiborne","Movie/Other",1995,"R/TV-MA",7.4,"1990-1999","Crime"
"429","All the Way","Movie/Other",2016,"PG-13/TV-14",7.3,"2010-2019","Biography"
"430","F for Fake","Movie/Other",1975,"PG/TV-PG",7.8,"1970-1979","Documentary"
"431","The Shop on Main Street","Movie/Other",1965,"PG/TV-PG",8.2,"1960-1969","Drama"
"432","Monsters vs Aliens","Movie/Other",2009,"PG/TV-PG",6.4,"2000-2009","Animation"
"433","Man Bites Dog","Movie/Other",1992,"R/TV-MA",7.5,"1990-1999","Horror"
"434","Secondhand Lions","Movie/Other",2003,"PG/TV-PG",7.5,"2000-2009","Family"
"435","Emma","TV",2009,"PG/TV-PG",8.1,"2000-2009","Comedy"
"436","Emma","TV",2009,"PG/TV-PG",8.1,"2000-2009","Romance"
"437","Emma","Movie/Other",1996,"PG/TV-PG",6.6,"1990-1999","Drama"
"438","Emma","Movie/Other",1996,"PG/TV-PG",6.6,"1990-1999","Drama"
"439","Dragged Across Concrete","Movie/Other",2019,"R/TV-MA",7,"2010-2019","Drama"
"440","Looking","TV",2014,"R/TV-MA",8.2,"2010-2019","Drama"
"441","The Young Girls of Rochefort","Movie/Other",1967,"G/TV-G",7.7,"1960-1969","Romance"
"442","Grey Gardens","Movie/Other",1976,"PG/TV-PG",7.6,"1970-1979","Documentary"
"443","Grey Gardens","Movie/Other",1976,"PG/TV-PG",7.6,"1970-1979","Drama"
"444","Grey Gardens","Movie/Other",2009,"PG/TV-PG",7.4,"2000-2009","Drama"
"445","Grey Gardens","Movie/Other",2009,"PG/TV-PG",7.4,"2000-2009","Biography"
"446","Godzilla: King of the Monsters","Movie/Other",2019,"PG-13/TV-14",6,"2010-2019","Action/Adventure"
"447","The Last Unicorn","Movie/Other",1982,"G/TV-G",7.5,"1980-1989","Drama"
"448","Pom Poko","Movie/Other",1994,"PG-13/TV-14",7.3,"1990-1999","Drama"
"449","Living in Oblivion","Movie/Other",1995,"R/TV-MA",7.5,"1990-1999","Drama"
"450","61*","Movie/Other",2001,"R/TV-MA",7.8,"2000-2009","Biography"
"451","Muriel's Wedding","Movie/Other",1994,"R/TV-MA",7.2,"1990-1999","Drama"
"452","The Most Dangerous Game","Movie/Other",1932,"PG-13/TV-14",7.1,"1930-1939","Mystery"
"453","Crimson Peak","Movie/Other",2015,"R/TV-MA",6.5,"2010-2019","Mystery"
"454","I Am Sam","Movie/Other",2001,"PG-13/TV-14",7.7,"2000-2009","Drama"
"455","Gentleman Jack","TV",2019,"R/TV-MA",8.2,"2010-2019","Biography"
"456","Another Earth","Movie/Other",2011,"PG-13/TV-14",7,"2010-2019","Drama"
"457","Out of Africa","Movie/Other",1985,"PG/TV-PG",7.2,"1980-1989","History"
"458","Citizen X","Movie/Other",1995,"R/TV-MA",7.5,"1990-1999","Drama"
"459","Looking: The Movie","Movie/Other",2016,"R/TV-MA",7.5,"2010-2019","Comedy"
"460","Home Alone 2: Lost in New York","Movie/Other",1992,"PG/TV-PG",6.8,"1990-1999","Action/Adventure"
"461","4 Little Girls","Movie/Other",1997,"PG-13/TV-14",7.8,"1990-1999","Documentary"
"462","Biutiful","Movie/Other",2010,"R/TV-MA",7.5,"2010-2019","Drama"
"463","In a World...","Movie/Other",2013,"R/TV-MA",6.7,"2010-2019","Documentary"
"464","The Island","Movie/Other",2005,"PG-13/TV-14",6.8,"2000-2009","Thriller"
"465","The Bucket List","Movie/Other",2007,"PG-13/TV-14",7.4,"2000-2009","Action/Adventure"
"466","Like Water for Chocolate","Movie/Other",1992,"R/TV-MA",7.1,"1990-1999","Romance"
"467","Arthur","Movie/Other",1981,"PG/TV-PG",6.9,"1980-1989","Drama"
"468","Dune","Movie/Other",1984,"PG-13/TV-14",6.5,"1980-1989","Sci-Fi"
"469","The Last Seduction","Movie/Other",1994,"R/TV-MA",7,"1990-1999","Mystery"
"470","The Righteous Gemstones","TV",2019,"R/TV-MA",8.1,"2010-2019","Comedy"
"471","Klute","Movie/Other",1971,"R/TV-MA",7.1,"1970-1979","Thriller"
"472","Vice Principals","TV",2016,"R/TV-MA",8,"2010-2019","Comedy"
"473","Carnival of Souls","Movie/Other",1962,"PG/TV-PG",7.1,"1960-1969","Mystery"
"474","Adventures in Babysitting","Movie/Other",1987,"PG-13/TV-14",6.9,"1980-1989","Crime"
"475","Thunderbolt and Lightfoot","Movie/Other",1974,"R/TV-MA",7.1,"1970-1979","Crime"
"476","The Client","Movie/Other",1994,"PG-13/TV-14",6.8,"1990-1999","Thriller"
"477","Magnum Force","Movie/Other",1973,"R/TV-MA",7.2,"1970-1979","Mystery"
"478","The Parallax View","Movie/Other",1974,"R/TV-MA",7.1,"1970-1979","Thriller"
"479","Girls","TV",2012,"R/TV-MA",7.3,"2010-2019","Drama"
"480","Tom and Jerry","TV",1940,"G/TV-G",8.7,"1940-1949","Animation"
"481","Weird Science","Movie/Other",1985,"PG-13/TV-14",6.6,"1980-1989","Sci-Fi"
"482","Storks","Movie/Other",2016,"PG/TV-PG",6.8,"2010-2019","Action/Adventure"
"483","Eve's Bayou","Movie/Other",1997,"R/TV-MA",7.3,"1990-1999","Drama"
"484","American Pie 2","Movie/Other",2001,"R/TV-MA",6.4,"2000-2009","Comedy"
"485","Suicide Squad","Movie/Other",2016,"PG-13/TV-14",6,"2010-2019","Sci-Fi"
"486","Samurai Jack","TV",2001,"PG-13/TV-14",8.5,"2000-2009","Thriller"
"487","Europa","Movie/Other",1991,"R/TV-MA",7.6,"1990-1999","Thriller"
"488","Fantastic Beasts: The Crimes of Grindelwald","Movie/Other",2018,"PG-13/TV-14",6.6,"2010-2019","Fantasy"
"489","Regular Show","TV",2010,"PG/TV-PG",8.4,"2010-2019","Animation"
"490","Treme","TV",2010,"R/TV-MA",8.2,"2010-2019","Drama"
"491","Steven Universe","TV",2013,"PG/TV-PG",8.2,"2010-2019","Action/Adventure"
"492","The Tin Drum","Movie/Other",1979,"R/TV-MA",7.5,"1970-1979","History"
"493","The Phantom of the Opera","Movie/Other",2004,"PG-13/TV-14",7.3,"2000-2009","Thriller"
"494","She's the Man","Movie/Other",2006,"PG-13/TV-14",6.3,"2000-2009","Drama"
"495","Much Ado About Nothing","Movie/Other",2012,"PG-13/TV-14",7.1,"2010-2019","Romance"
"496","A Walk to Remember","Movie/Other",2002,"PG/TV-PG",7.4,"2000-2009","Romance"
"497","Rosewood","Movie/Other",1997,"R/TV-MA",7.2,"1990-1999","Thriller"
"498","Cronos","Movie/Other",1993,"R/TV-MA",6.7,"1990-1999","Mystery"
"499","Pandora's Box","Movie/Other",1929,"PG-13/TV-14",7.9,"1920-1929","Crime"
"500","The Official Story","Movie/Other",1985,"R/TV-MA",7.7,"1980-1989","History"
"501","Teenage Mutant Ninja Turtles","Movie/Other",1990,"PG/TV-PG",6.8,"1990-1999","Sci-Fi"
"502","U-571","Movie/Other",2000,"PG-13/TV-14",6.6,"2000-2009","Drama"
"503","Analyze This","Movie/Other",1999,"R/TV-MA",6.7,"1990-1999","Crime"
"504","Bright Lights: Starring Carrie Fisher and Debbie Reynolds","Movie/Other",2016,"PG-13/TV-14",8,"2010-2019","Documentary"
"505","City of Angels","Movie/Other",1998,"PG-13/TV-14",6.7,"1990-1999","Drama"
"506","Wit","Movie/Other",2001,"PG-13/TV-14",8,"2000-2009","Drama"
"507","Smallfoot","Movie/Other",2018,"PG/TV-PG",6.6,"2010-2019","Fantasy"
"508","How to Lose a Guy in 10 Days","Movie/Other",2003,"PG-13/TV-14",6.4,"2000-2009","Romance"
"509","Bridget Jones's Baby","Movie/Other",2016,"R/TV-MA",6.5,"2010-2019","Romance"
"510","Love in the Afternoon","Movie/Other",1972,"R/TV-MA",7.7,"1970-1979","Comedy"
"511","Home Movies","TV",1999,"PG/TV-PG",8,"1990-1999","Family"
"512","Momentum Generation","Movie/Other",2018,"PG-13/TV-14",8.1,"2010-2019","Documentary"
"513","Water for Elephants","Movie/Other",2011,"PG-13/TV-14",6.9,"2010-2019","Romance"
"514","Magic Mike","Movie/Other",2012,"R/TV-MA",6.1,"2010-2019","Comedy"
"515","Wallander","TV",2008,"PG/TV-PG",7.9,"2000-2009","Mystery"
"516","Search Party","TV",2016,"R/TV-MA",7.5,"2010-2019","Mystery"
"517","King in the Wilderness","Movie/Other",2018,"PG-13/TV-14",8,"2010-2019","Documentary"
"518","Metropolitan","Movie/Other",1990,"PG-13/TV-14",7.4,"1990-1999","Drama"
"519","Presumed Innocent","Movie/Other",1990,"R/TV-MA",6.9,"1990-1999","Thriller"
"520","The Plot Against America","TV",2020,"R/TV-MA",7.3,"2020-2029","Fantasy"
"521","Black Orpheus","Movie/Other",1959,"PG/TV-PG",7.5,"1950-1959","Fantasy"
"522","Linda Ronstadt: The Sound of My Voice","Movie/Other",2019,"PG-13/TV-14",8,"2010-2019","Documentary"
"523","Shadows","Movie/Other",1959,"PG/TV-PG",7.3,"1950-1959","Drama"
"524","Shadows","Movie/Other",1959,"PG/TV-PG",7.3,"1950-1959","Drama"
"525","Shadows","TV",2014,"R/TV-MA",8.8,"2010-2019","Romance"
"526","Shadows","TV",2014,"R/TV-MA",8.8,"2010-2019","Thriller"
"527","Mea Maxima Culpa: Silence in the House of God","Movie/Other",2012,"PG-13/TV-14",8,"2010-2019","Documentary"
"528","Mona Lisa","Movie/Other",1986,"R/TV-MA",7.3,"1980-1989","Drama"
"529","Teen Titans: The Judas Contract","Movie/Other",2017,"PG-13/TV-14",7,"2010-2019","Sci-Fi"
"530","Police Academy","Movie/Other",1984,"R/TV-MA",6.7,"1980-1989","Comedy"
"531","Final Destination","Movie/Other",2000,"R/TV-MA",6.7,"2000-2009","Thriller"
"532","Weekend","Movie/Other",1967,"R/TV-MA",7.2,"1960-1969","Comedy"
"533","Scanners","Movie/Other",1981,"R/TV-MA",6.8,"1980-1989","Mystery"
"534","The Sisterhood of the Traveling Pants","Movie/Other",2005,"PG/TV-PG",6.5,"2000-2009","Drama"
"535","Lean On Me","Movie/Other",1989,"PG-13/TV-14",7.4,"1980-1989","Drama"
"536","Set It Off","Movie/Other",1996,"R/TV-MA",6.9,"1990-1999","Drama"
"537","In Treatment","TV",2008,"R/TV-MA",8.3,"2000-2009","Drama"
"538","A Nightmare on Elm Street 3: Dream Warriors","Movie/Other",1987,"R/TV-MA",6.6,"1980-1989","Thriller"
"539","Any Given Sunday","Movie/Other",1999,"R/TV-MA",6.9,"1990-1999","Drama"
"540","The Witches of Eastwick","Movie/Other",1987,"R/TV-MA",6.5,"1980-1989","Comedy"
"541","Shaft","Movie/Other",2019,"R/TV-MA",6.4,"2010-2019","Action/Adventure"
"542","Bored to Death","TV",2009,"R/TV-MA",7.9,"2000-2009","Comedy"
"543","Miss Pettigrew Lives for a Day","Movie/Other",2008,"PG-13/TV-14",7.1,"2000-2009","Drama"
"544","Show Me a Hero","TV",2015,"R/TV-MA",8.1,"2010-2019","History"
"545","Salesman","Movie/Other",1969,"G/TV-G",7.8,"1960-1969","Drama"
"546","I Love You Phillip Morris","Movie/Other",2009,"R/TV-MA",6.6,"2000-2009","Romance"
"547","The Hitcher","Movie/Other",1986,"R/TV-MA",7.2,"1980-1989","Mystery"
"548","ERASED","TV",2016,"PG-13/TV-14",8.5,"2010-2019","Anime"
"549","Faces","Movie/Other",1968,"PG-13/TV-14",7.7,"1960-1969","Drama"
"550","The Hangover Part II","Movie/Other",2011,"R/TV-MA",6.4,"2010-2019","Comedy"
"551","Life","Movie/Other",1999,"R/TV-MA",6.8,"1990-1999","Drama"
"552","Mr. Show with Bob and David","TV",1995,"R/TV-MA",8.3,"1990-1999","Comedy"
"553","Batman: The Dark Knight Returns, Part 2","Movie/Other",2013,"PG-13/TV-14",8.4,"2010-2019","Animation"
"554","Western Stars","Movie/Other",2019,"PG/TV-PG",7.5,"2010-2019","Musical"
"555","Desert Hearts","Movie/Other",1985,"R/TV-MA",7,"1980-1989","Drama"
"556","High Maintenance","TV",2016,"R/TV-MA",8,"2010-2019","Drama"
"557","High Maintenance","TV",2016,"R/TV-MA",8,"2010-2019","Comedy"
"558","High Maintenance","TV",2012,"R/TV-MA",8.2,"2010-2019","Comedy"
"559","High Maintenance","TV",2012,"R/TV-MA",8.2,"2010-2019","Comedy"
"560","An Angel at My Table","Movie/Other",1990,"R/TV-MA",7.5,"1990-1999","Drama"
"561","Annabelle Comes Home","Movie/Other",2019,"R/TV-MA",5.9,"2010-2019","Mystery"
"562","Heaven Can Wait","Movie/Other",1978,"PG/TV-PG",6.9,"1970-1979","Fantasy"
"563","American Wedding","Movie/Other",2003,"R/TV-MA",6.3,"2000-2009","Romance"
"564","The Closer","TV",2005,"PG-13/TV-14",7.6,"2000-2009","Mystery"
"565","Selena","Movie/Other",1997,"PG/TV-PG",6.8,"1990-1999","Musical"
"566","Footlight Parade","Movie/Other",1933,"G/TV-G",7.6,"1930-1939","Romance"
"567","Tie Me Up! Tie Me Down!","Movie/Other",1989,"R/TV-MA",7,"1980-1989","Crime"
"568","Love Jones","Movie/Other",1997,"R/TV-MA",7.5,"1990-1999","Independent"
"569","In Her Shoes","Movie/Other",2005,"PG-13/TV-14",6.4,"2000-2009","Comedy"
"570","Gremlins 2: The New Batch","Movie/Other",1990,"PG-13/TV-14",6.4,"1990-1999","Comedy"
"571","The Amazing World of Gumball","TV",2011,"PG/TV-PG",8.2,"2010-2019","Sci-Fi"
"572","The Inventor: Out for Blood in Silicon Valley","Movie/Other",2019,"PG-13/TV-14",7.1,"2010-2019","Drama"
"573","Life According to Sam","Movie/Other",2013,"G/TV-G",8.2,"2010-2019","Biography"
"574","Your Lie in April","TV",2014,"PG/TV-PG",8.6,"2010-2019","Anime"
"575","Stuber","Movie/Other",2019,"R/TV-MA",6.2,"2010-2019","Comedy"
"576","River's Edge","Movie/Other",1986,"R/TV-MA",7,"1980-1989","Drama"
"577","Robot Chicken","TV",2005,"R/TV-MA",7.7,"2000-2009","Animation"
"578","Game Change","Movie/Other",2012,"R/TV-MA",7.4,"2010-2019","Drama"
"579","What Women Want","Movie/Other",2000,"PG-13/TV-14",6.4,"2000-2009","Comedy"
"580","The Larry Sanders Show","TV",1992,"R/TV-MA",8.4,"1990-1999","Comedy"
"581","The Brood","Movie/Other",1979,"R/TV-MA",6.8,"1970-1979","Sci-Fi"
"582","We Are Marshall","Movie/Other",2006,"PG/TV-PG",7.1,"2000-2009","Drama"
"583","The Last Metro","Movie/Other",1980,"PG/TV-PG",7.4,"1980-1989","Drama"
"584","The Young Pope","TV",2016,"PG/TV-PG",8.4,"2010-2019","Drama"
"585","McMillion$","TV",2020,"PG-13/TV-14",7.2,"2020-2029","Documentary"
"586","Lola","Movie/Other",1981,"R/TV-MA",7.5,"1980-1989","Drama"
"587","We're Here","TV",2020,"R/TV-MA",8,"2020-2029","Reality"
"588","How the West Was Won","Movie/Other",1962,"G/TV-G",7.1,"1960-1969","Musical"
"589","American Woman","Movie/Other",2019,"R/TV-MA",6.8,"2010-2019","Drama"
"590","Batman: Gotham Knight","Movie/Other",2008,"PG-13/TV-14",6.8,"2000-2009","Animation"
"591","Something Wild","Movie/Other",1986,"R/TV-MA",6.9,"1980-1989","Mystery"
